기간	자치구	동	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	조건부 수급자	조건부 수급자	특례수급자	특례수급자	시설수급자	시설수급자
2018	서초구	잠원동	180	-	219	168	200	11	18	1	1	-	-
2018	서초구	반포본동	15	-	30	15	30	-	-	-	-	-	-
2018	서초구	반포1동	179	-	239	154	194	22	42	3	3	-	-
2018	서초구	반포2동	2	-	2	2	2	-	-	-	-	-	-
2018	서초구	반포3동	17	-	20	17	20	-	-	-	-	-	-
2018	서초구	반포4동	46	-	77	43	70	2	4	1	3	-	-
2018	서초구	방배본동	157	-	221	137	181	18	38	2	2	-	-
2018	서초구	방배1동	173	-	213	153	182	14	25	6	6	-	-
2018	서초구	방배2동	255	-	352	234	312	20	39	1	1	-	-
2018	서초구	방배3동	212	-	310	181	253	24	48	7	9	-	-
2018	서초구	방배4동	179	-	232	163	204	14	25	2	3	-	-
2018	서초구	양재1동	1,047	-	1,676	947	1,457	90	203	10	16	-	-
2018	서초구	양재2동	331	-	461	284	390	44	68	3	3	-	-
2018	서초구	내곡동	333	-	631	287	506	40	115	6	10	-	-
2018	서초구	기타	3	6	191	3	3	-	-	-	-	6	188
2018	강남구	소계	7,208	11	11,507	5,772	7,726	1,357	3,039	79	113	11	629
2018	강남구	신사동	83	-	120	72	92	11	28	-	-	-	-
2018	강남구	논현1동	280	-	398	224	294	55	103	1	1	-	-
2018	강남구	논현2동	224	-	328	176	223	44	99	4	6	-	-
2018	강남구	삼성1동	66	-	111	41	57	23	52	2	2	-	-
2018	강남구	삼성2동	223	-	324	152	186	69	136	2	2	-	-
2018	강남구	대치1동	12	-	22	8	13	3	8	1	1	-	-
2018	강남구	대치4동	209	-	282	156	186	52	95	1	1	-	-
2018	강남구	역삼1동	362	-	488	249	293	110	192	3	3	-	-
2018	강남구	역삼2동	234	-	317	188	230	46	87	-	-	-	-
2018	강남구	도곡1동	73	-	100	54	65	19	35	-	-	-	-
2018	강남구	도곡2동	28	-	39	21	27	7	12	-	-	-	-
2018	강남구	개포1동	128	-	170	100	122	28	48	-	-	-	-
2018	강남구	개포4동	330	-	506	235	305	92	198	3	3	-	-
2018	강남구	일원본동	29	-	45	24	28	5	17	-	-	-	-
2018	강남구	일원1동	910	-	1,396	739	1,023	156	350	15	23	-	-
2018	강남구	일원2동	729	-	1,050	638	864	86	180	5	6	-	-
2018	강남구	수서동	2,001	-	2,857	1,735	2,263	245	563	21	31	-	-
2018	강남구	세곡동	931	-	1,800	683	1,093	231	677	17	30	-	-
2018	강남구	압구정동	62	-	78	51	58	11	20	-	-	-	-
2018	강남구	청담동	118	-	193	89	126	29	67	-	-	-	-
2018	강남구	대치2동	96	-	139	72	95	22	42	2	2	-	-
2018	강남구	개포2동	71	-	106	56	74	13	30	2	2	-	-
2018	강남구	기타	9	11	638	9	9	-	-	-	-	11	629
2018	송파구	소계	7,680	18	12,019	6,320	9,005	1,119	2,292	241	316	18	406
2018	송파구	풍납1동	355	-	455	307	374	39	71	9	10	-	-
2018	송파구	풍납2동	284	-	408	246	345	28	45	10	18	-	-
2018	송파구	거여1동	304	-	434	259	349	41	78	4	7	-	-
2018	송파구	거여2동	362	-	491	292	361	57	112	13	18	-	-
2018	송파구	마천1동	819	-	1,231	709	1,005	89	199	21	27	-	-
2018	송파구	마천2동	767	-	1,178	628	911	118	243	21	24	-	-
2018	송파구	방이1동	124	-	220	94	142	28	75	2	3	-	-
2018	송파구	방이2동	339	-	495	280	389	52	95	7	11	-	-
2018	송파구	오륜동	8	-	8	7	7	1	1	-	-	-	-
2018	송파구	오금동	661	-	1,118	541	883	98	207	22	28	-	-
2018	송파구	송파1동	286	-	409	222	297	53	100	11	12	-	-
2018	송파구	송파2동	166	-	252	121	159	38	83	7	10	-	-
2018	송파구	석촌동	505	-	728	401	545	83	154	21	29	-	-
2018	송파구	삼전동	536	-	818	428	618	89	177	19	23	-	-
2018	송파구	가락본동	258	-	347	229	295	25	47	4	5	-	-
2018	송파구	가락1동	2	-	2	2	2	-	-	-	-	-	-
2018	송파구	가락2동	280	-	429	221	324	37	82	22	23	-	-
2018	송파구	문정1동	173	-	253	145	204	24	42	4	7	-	-
2018	송파구	문정2동	69	-	92	58	78	10	13	1	1	-	-
2018	송파구	장지동	658	-	1,138	525	855	109	250	24	33	-	-
2018	송파구	위례동	183	-	362	148	270	30	84	5	8	-	-
2018	송파구	잠실본동	445	-	612	378	494	57	105	10	13	-	-
2018	송파구	잠실4동	30	-	48	26	36	4	12	-	-	-	-
2018	송파구	잠실6동	21	-	30	16	21	3	7	2	2	-	-
2018	송파구	잠실7동	5	-	7	4	5	1	2	-	-	-	-
2018	송파구	잠실2동	14	-	15	11	11	3	4	-	-	-	-
2018	송파구	잠실3동	23	-	29	20	24	2	4	1	1	-	-
2018	송파구	기타	3	18	410	2	1	-	-	1	3	18	406
2018	강동구	소계	6,986	25	10,389	5,987	7,992	848	1,717	151	210	25	470
2018	강동구	강일동	543	-	959	436	694	89	235	18	30	-	-
2018	강동구	상일동	175	-	238	154	195	17	39	4	4	-	-
2018	강동구	명일1동	168	-	227	144	183	22	41	2	3	-	-
2018	강동구	명일2동	95	-	140	76	102	14	31	5	7	-	-
2018	강동구	고덕1동	177	-	238	163	211	9	20	5	7	-	-
2018	강동구	고덕2동	319	-	457	274	361	40	90	5	6	-	-
2018	강동구	암사2동	95	-	118	89	109	5	8	1	1	-	-
2018	강동구	암사3동	56	-	74	52	68	4	6	-	-	-	-
2018	강동구	천호1동	727	-	1,014	636	851	79	146	12	17	-	-
2018	강동구	천호3동	791	-	1,037	683	852	89	161	19	24	-	-
2018	강동구	성내1동	150	-	221	125	167	23	51	2	3	-	-
2018	강동구	성내2동	463	-	568	405	489	47	65	11	14	-	-
2018	강동구	성내3동	291	-	388	247	325	41	60	3	3	-	-
2018	강동구	둔촌2동	281	-	407	240	320	38	84	3	3	-	-
2018	강동구	암사1동	931	-	1,414	791	1,123	116	249	24	42	-	-
2018	강동구	천호2동	1,009	-	1,376	871	1,131	117	218	21	27	-	-
2018	강동구	길동	707	-	1,036	593	804	98	213	16	19	-	-
2018	강동구	기타	8	25	477	8	7	-	-	-	-	25	470
